Environmental package	Package item	Structured comment name	Value	Value details	Occurrence	Value syntax	Definition	EU	BA	PL	VI	ORG	ME	MIENS_S	MIENS_C	Position
air	respirable particulate matter	resp_part_matter	[particulate matter name;measurement value]		multiple	text;float unit	concentration of substances that remain suspended in the air, and comprise mixtures of organic and inorganic substances (PM10 and PM2.5); can report multiple PM's by entering numeric values preceded by name of PM	X	X	X	X	X	X	X	X	0
air	sample salinity	samp_salinity	[measurement value]		1	float unit	salinity of sample, i.e. measure of total salt concentration	X	X	X	X	X	X	X	X	0
air	sample storage duration	samp_store_dur	[time interval]		1	[YYYY]-[MM]-[DD]T[hh]:[mm]:[ss]TZD/[YYYY]-[MM]-[DD]T[hh]:[mm]:[ss]TZD	duration for which sample was stored	X	X	X	X	X	X	X	X	0
air	sample storage location	samp_store_loc	[location name]		1	text	location at which sample was stored, usually name of a specific freezer/room	X	X	X	X	X	X	X	X	0
air	sample storage temperature	samp_store_temp	[measurement value]		1	float unit	temperature at which sample was stored, e.g. -80	X	X	X	X	X	X	X	X	0
air	solar irradiance	solar_irradiance	[measurement value]		1	float unit	the amount of solar energy that arrives at a specific area of a surface during a specific time interval	X	X	X	X	X	X	X	X	0
air	temperature	temp	[measurement value]		1	float unit	temperature of the sample at time of sampling	X	X	X	X	X	X	X	X	0
air	ventilation rate	ventilation_rate	[measurement value]		1	float unit	ventilation rate of the system in the sampled premises	X	X	X	X	X	X	X	X	0
air	ventilation type	ventilation_type	[ventilation type name]		1	text	ventilation system used in the sampled premises	X	X	X	X	X	X	X	X	0
air	volatile organic compounds	volatile_org_comp	[volatile organic compound name;measurement value]		multiple	text;float unit	concentration of carbon-based chemicals that easily evaporate at room temperature; can report multiple volatile organic compounds by entering numeric values preceded by name of compound	X	X	X	X	X	X	X	X	0
air	wind direction	wind_direction	[wind direction name]		1	text	wind direction is the direction from which a wind originates	X	X	X	X	X	X	X	X	0
air	wind speed	wind_speed	[measurement value]		1	float unit	speed of wind measured at the time of sampling	X	X	X	X	X	X	X	X	0
host-associated	host common name	host_common_name	[common name]		1	text	common name of the host, e.g. human	X	X	X	X	X	X	X	X	1
host-associated	host taxid	host_taxid	[NCBI taxon id]		1	taxon identifier	NCBI taxon id of the host, e.g. 9606	X	X	X	X	X	X	X	X	2
host-associated	host subject id	host_subject_id	[unique id]		1	variable character	a unique identifier by which each subject can be referred to, de-identified, e.g. #131	X	X	X	X	X	X	X	X	3
host-associated	age	age	[value]		1	float unit	age of host at the time of sampling; relevant scale depends on species and study, e.g. could be seconds for amoebae or centuries for trees	X	X	X	X	X	X	X	X	4
host-associated	life stage	life_stage	[stage]		1	text	description of life stage of host	X	X	X	X	X	X	X	X	5
host-associated	sex	sex	[enumeration]	male,female,neuter,hermaphrodite,not determined	1	Controlled vocabulary term	physical sex of the host	X	X	X	X	X	X	X	X	6
host-associated	disease status	disease_stat	[disease name or DO]	DO (Disease Ontology); http://gemina.svn.sourceforge.net/viewvc/gemina/trunk/Gemina/ontologies/gemina_symptom.obo?view=log	multiple	text or DO term	list of diseases with which the host has been diagnosed; can include multiple diagnoses. the value of the field depends on host; for humans the terms should be chosen from DO (Disease Ontology), other hosts are free text	X	X	X	X	X	X	X	X	7
host-associated	chemical administration	chem_administration	[CHEBI;timestamp]	CHEBI (Chemical Entities of Biological Interest) browser; http://www.ebi.ac.uk/ontology-lookup/browse.do?ontName=CHEBI	multiple	CHEBI term;[YYYY]-[MM]-[DD]T[hh]:[mm]:[ss]TZD	list of chemical compounds administered to the host or site where sampling occurred, and when (e.g. antibiotics, N fertilizer, air filter); can include multiple compounds	X	X	X	X	X	X	X	X	8
host-associated	body habitat	body_habitat	[FMA]	FMA (Foundational Model of Anatomy) browser; http://www.ebi.ac.uk/ontology-lookup/browse.do?ontName=FMA	1	FMA term	original body habitat where the sample was obtained from	X	X	X	X	X	X	X	X	9
host-associated	body site	body_site	[FMA]	FMA (Foundational Model of Anatomy) browser; http://www.ebi.ac.uk/ontology-lookup/browse.do?ontName=FMA	1	FMA term	name of body site where the sample was obtained from	X	X	X	X	X	X	X	X	10
host-associated	body product	body_product	[FMA]	FMA (Foundational Model of Anatomy) browser; http://www.ebi.ac.uk/ontology-lookup/browse.do?ontName=FMA	1	FMA term	substance produced by the body, e.g. stool, mucus, where the sample was obtained from	X	X	X	X	X	X	X	X	11
host-associated	total mass	tot_mass	[measurement value]		1	float unit	total mass of the host at collection, the unit depends on host	X	X	X	X	X	X	X	X	12
host-associated	height or length	height_or_length	[measurement value]		1	float unit	measurement of height or length	X	X	X	X	X	X	X	X	13
host-associated	diet	diet	[diet type]		multiple	text	type of diet depending on the host, for animals omnivore, herbivore etc., for humans high-fat, meditteranean etc.; can include multiple diet types	X	X	X	X	X	X	X	X	14
host-associated	last meal	last_meal	[content;time interval], multiple		multiple	text;[YYYY]-[MM]-[DD]T[hh]:[mm]:[ss]TZD/[YYYY]-[MM]-[DD]T[hh]:[mm]:[ss]TZD	content of last meal and time since feeding; can include multiple values	X	X	X	X	X	X	X	X	15
host-associated	host growth conditions	host_growth_cond	[PMID,DOI,url or free text]		1	PMID identifier and/or DOI identifier or url or text	literature reference giving growth conditions of the host	X	X	X	X	X	X	X	X	16
host-associated	substrate	substrate	[substrate name]		1	text	the growth substrate of the host 	X	X	X	X	X	X	X	X	17
host-associated	family relationship	family_relationship	[arbitrary id;relationship type]		multiple	variable character;text	relationships to other hosts in the same study, e.g. child of host # 131; can include multiple relationships	X	X	X	X	X	X	X	X	18
host-associated	infra_specific_name	infra_specific_name	[name]		1	text	taxonomic information about the host below subspecies level	X	X	X	X	X	X	X	X	19
host-associated	infra_specific_rank	infra_specific_rank	[rank]		1	text	taxonomic rank information about the host below subspecies level, such as variety, form, rank etc.	X	X	X	X	X	X	X	X	20
host-associated	genotype	genotype	[genotype]		1	text	observed genotype	X	X	X	X	X	X	X	X	21
host-associated	phenotype	phenotype	[PATO]	http://www.ebi.ac.uk/ontology-lookup/browse.do?ontName=PATO	1	PATO term	phenotype of host	X	X	X	X	X	X	X	X	22
host-associated	host body temperature	host_body_temp	[measurement value]		1	float unit	core body temperature of the host when sample was collected	X	X	X	X	X	X	X	X	23
host-associated	dry mass	dry_mass	[measurement value]		1	float unit	measurement of dry mass	X	X	X	X	X	X	X	X	24
host-associated	blood pressure diastolic	blood_press_diast	[measurement value]		1	float unit	resting diastolic blood pressure, measured as mm mercury	X	X	X	X	X	X	X	X	25
host-associated	blood pressure systolic	blood_press_syst	[measurement value]		1	float unit	resting systolic blood pressure, measured as mm mercury	X	X	X	X	X	X	X	X	26
host-associated	host color	host_color	[color]		1	text	the color of host	X	X	X	X	X	X	X	X	27
host-associated	host shape	host_shape	[shape]		1	text	morphological shape of host 	X	X	X	X	X	X	X	X	28
host-associated	gravidity	gravidity	[gravidity status;timestamp]		1	boolean;[YYYY]-[MM]-[DD]T[hh]:[mm]:[ss]TZD	whether or not subject is gravid, and if yes date due or date post-conception, specifying which is used	X	X	X	X	X	X	X	X	29
host-associated	perturbation	perturbation	[perturbation type name;time interval]		multiple	text;[YYYY]-[MM]-[DD]T[hh]:[mm]:[ss]TZD/[YYYY]-[MM]-[DD]T[hh]:[mm]:[ss]TZD	type of perturbation, e.g. chemical administration, physical disturbance, etc., coupled with time that perturbation occurred; can include multiple perturbation types	X	X	X	X	X	X	X	X	30
host-associated	sample salinity	samp_salinity	[measurement value]		1	float unit	salinity of sample, i.e. measure of total salt concentration	X	X	X	X	X	X	X	X	31
host-associated	oxygenation status of sample	oxy_stat_samp	[enumeration]	aerobic, anaerobic	1	Controlled vocabulary term	oxygenation status of sample	X	X	X	X	X	X	X	X	32
host-associated	temperature	temp	[measurement value]		1	float unit	temperature of the sample at time of sampling	X	X	X	X	X	X	X	X	33
host-associated	organism count	organism_count	[organism name;measurement value]		multiple	text;float unit	total count of any organism per gram or volume of sample,should include name of organism followed by count; can include multiple organism counts	X	X	X	X	X	X	X	X	34
host-associated	sample storage temperature	samp_store_temp	[measurement value]		1	float unit	temperature at which sample was stored, e.g. -80	X	X	X	X	X	X	X	X	35
host-associated	sample storage duration	samp_store_dur	[time interval]		1	[YYYY]-[MM]-[DD]T[hh]:[mm]:[ss]TZD/[YYYY]-[MM]-[DD]T[hh]:[mm]:[ss]TZD	duration for which sample was stored	X	X	X	X	X	X	X	X	36
host-associated	sample storage location	samp_store_loc	[location name]		1	text	location at which sample was stored, usually name of a specific freezer/room	X	X	X	X	X	X	X	X	37
host-associated	miscellaneous parameter	misc_param	[parameter name;measurement value]		multiple	text;float unit or text	any other measurement performed or parameter collected, that is not listed here	X	X	X	X	X	X	X	X	38
human-associated	host subject id	host_subject_id	[unique id]		1	variable character	a unique identifier by which each subject can be referred to, de-identified, e.g. #131	X	X	X	X	X	X	X	X	1
human-associated	age	age	[value]		1	float unit	age of host at the time of sampling; relevant scale depends on species and study, e.g. could be seconds for amoebae or centuries for trees	X	X	X	X	X	X	X	X	2
human-associated	sex	sex	[enumeration]	male,female,neuter,hermaphrodite,not determined	1	Controlled vocabulary term	physical sex of the host	X	X	X	X	X	X	X	X	3
human-associated	disease status	disease_stat	[disease name or DO]	DO (Disease Ontology); http://gemina.svn.sourceforge.net/viewvc/gemina/trunk/Gemina/ontologies/gemina_symptom.obo?view=log	multiple	text or DO term	list of diseases with which the host has been diagnosed; can include multiple diagnoses. the value of the field depends on host; for humans the terms should be chosen from DO (Disease Ontology), other hosts are free text	X	X	X	X	X	X	X	X	4
human-associated	IHMC medication code	ihmc_medication_code	[IHMC code]	01=1=Analgesics/NSAIDS, 02=2=Anesthetics, 03=3=Antacids/H2  antagonists, 04=4=Anti-acne, 05=5=Anti-asthma/bronchodilators, 06=6=Anti-cholesterol/Anti-hyperlipidemic, 07=7=Anti-coagulants, 08=8=Antibiotics/(anti)-infectives, parasitics, microbials, 09=9=Antidepressants/mood-altering drugs, 10=10=Antihistamines/ Decongestants, 11=11=Antihypertensives, 12=12=Cardiovascular, other than hyperlipidemic/HTN, 13=13=Contraceptives (oral, implant, injectable), 14=14=Emergency/support medications, 15=15=Endocrine/Metabolic agents, 16=16=GI meds (anti-diarrheal, emetic, spasmodics), 17=17=Herbal/homeopathic products, 18=18=Hormones/steroids, 19=19=OTC cold & flu, 20=20=Vaccine prophylaxis, 21=21=Vitamins, minerals, food supplements, 99=99=Other	multiple	IHMC code number	can include multiple medication codes	X	X	X	X	X	X	X	X	5
human-associated	chemical administration	chem_administration	[CHEBI;timestamp]	CHEBI (Chemical Entities of Biological Interest) browser; http://www.ebi.ac.uk/ontology-lookup/browse.do?ontName=CHEBI	multiple	CHEBI term;[YYYY]-[MM]-[DD]T[hh]:[mm]:[ss]TZD	list of chemical compounds administered to the host or site where sampling occurred, and when (e.g. antibiotics, N fertilizer, air filter); can include multiple compounds	X	X	X	X	X	X	X	X	6
human-associated	body site	body_site	[FMA]	FMA (Foundational Model of Anatomy) browser; http://www.ebi.ac.uk/ontology-lookup/browse.do?ontName=FMA	1	FMA term	name of body site where the sample was obtained from	X	X	X	X	X	X	X	X	7
human-associated	body product	body_product	[FMA]	FMA (Foundational Model of Anatomy) browser; http://www.ebi.ac.uk/ontology-lookup/browse.do?ontName=FMA	1	FMA term	substance produced by the body, e.g. stool, mucus, where the sample was obtained from	X	X	X	X	X	X	X	X	8
human-associated	total mass	tot_mass	[measurement value]		1	float unit	total mass of the host at collection, the unit depends on host	X	X	X	X	X	X	X	X	9
human-associated	height	height	[measurement value]		1	float unit	the height of subject	X	X	X	X	X	X	X	X	10
human-associated	diet	diet	[diet type]		multiple	text	type of diet depending on the host, for animals omnivore, herbivore etc., for humans high-fat, meditteranean etc.; can include multiple diet types	X	X	X	X	X	X	X	X	11
human-associated	last meal	last_meal	[content;time interval], multiple		multiple	text;[YYYY]-[MM]-[DD]T[hh]:[mm]:[ss]TZD/[YYYY]-[MM]-[DD]T[hh]:[mm]:[ss]TZD	content of last meal and time since feeding; can include multiple values	X	X	X	X	X	X	X	X	12
human-associated	family relationship	family_relationship	[arbitrary id;relationship type]		multiple	variable character;text	relationships to other hosts in the same study, e.g. child of host # 131; can include multiple relationships	X	X	X	X	X	X	X	X	13
human-associated	genotype	genotype	[genotype]		1	text	observed genotype	X	X	X	X	X	X	X	X	14
human-associated	phenotype	phenotype	[PATO]	http://www.ebi.ac.uk/ontology-lookup/browse.do?ontName=PATO	1	PATO term	phenotype of host	X	X	X	X	X	X	X	X	15
human-associated	host body temperature	host_body_temp	[measurement value]		1	float unit	core body temperature of the host when sample was collected	X	X	X	X	X	X	X	X	16
human-associated	smoker	smoker	[smoking status]		1	boolean	specification of smoking status	X	X	X	X	X	X	X	X	17
human-associated	HIV status	hiv_stat	[HIV status;HAART initiation status]		1	boolean;boolean	HIV status of subject, if yes HAART initiation status should also be indicated as [YES or NO]	X	X	X	X	X	X	X	X	18
human-associated	drug usage	drug_usage	[drug name;frequency]		multiple	text;P[n]Y[n]M[n]DT[n]H[n]M[n]S	any drug used by subject and the frequency of usage; can include multiple drugs used	X	X	X	X	X	X	X	X	19
human-associated	body-mass index	body-mass_index	[measurement value]		1	float unit	body mass index, calculated as weight/(height)squared	X	X	X	X	X	X	X	X	20
human-associated	major diet change in last six months	diet_last_six_month	[diet change;current diet]		1	boolean;text	specification of major diet changes in the last six months, if yes the change should be specified	X	X	X	X	X	X	X	X	21
human-associated	weight loss in last three months	weight_loss_3_month	[weight loss specification;measurement value]		1	boolean;float unit	specification of weight loss in the last three months, if yes should be further specified to include amount of weight loss	X	X	X	X	X	X	X	X	22
human-associated	IHMC ethnicity	ihmc_ethnicity	[IHMC code or free text]	01=Hispanic or Latino or Spanish, 02=Non-Hispanic or Non-Latino or Non- Spanish	1	IHMC code number or text	ethnicity of the subject	X	X	X	X	X	X	X	X	23
human-associated	occupation	occupation	[IHMC code]	01=01 Accounting/Finance, 02=02 Advertising/Public Relations, 03=03  Arts/Entertainment/Publishing, 04=04 Automotive, 05=05 Banking/ Mortgage, 06=06 Biotech, 07=07 Broadcast/Journalism, 08=08 Business  Development, 09=09 Clerical/Administrative, 10=10 Construction/Trades,  11=11 Consultant, 12=12 Customer Services, 13=13 Design, 14=14  Education, 15=15 Engineering, 16=16 Entry Level, 17=17 Executive,  18=18 Food Service, 19=19 Government, 20=20 Grocery, 21=21 Healthcare,  22=22 Hospitality, 23=23 Human Resources, 24=24 Information  Technology, 25=25 Insurance, 26=26 Law/Legal, 27=27 Management, 28=28  Manufacturing, 29=29 Marketing, 30=30 Pharmaceutical, 31=31  Professional Services, 32=32 Purchasing, 33=33 Quality Assurance (QA),  34=34 Research, 35=35 Restaurant, 36=36 Retail, 37=37 Sales, 38=38  Science, 39=39 Security/Law Enforcement, 40=40 Shipping/Distribution,  41=41 Strategy, 42=42 Student, 43=43 Telecommunications, 44=44  Training, 45=45 Transportation, 46=46 Warehouse, 47=47 Other, 99=99  Unknown/Refused	1	IHMC code number	most frequent job performed by subject	X	X	X	X	X	X	X	X	24
human-associated	presence of pets or farm animals	pet_farm_animal	[presence status;type of animal or pet]		multiple	boolean;text	specification of presence of pets or farm animals in the environment of subject, if yes the animals should be specified; can include multiple animals present	X	X	X	X	X	X	X	X	25
human-associated	travel outside the country in last six months	travel_out_six_month	[country name]		multiple	text	specification of the countries travelled in the last six months; can include multiple travels	X	X	X	X	X	X	X	X	26
human-associated	twin sibling presence	twin_sibling	[presence status]		1	boolean	specification of twin sibling presence	X	X	X	X	X	X	X	X	27
human-associated	medical history performed	medic_hist_perform	[true or false]		1	boolean	whether full medical history was collected	X	X	X	X	X	X	X	X	28
human-associated	study completion status	study_complt_stat	[YES or NO due to (1)adverse event (2) non-compliance (3) lost to follow up (4)other-specify]		1	boolean;code	specification of study completion status, if no the reason should be specified	X	X	X	X	X	X	X	X	29
human-associated	lung/pulmonary disorder	pulmonary_disord	[disorder name]		multiple	text	history of pulmonary disorders; can include multiple disorders	X	X	X	X	X	X	X	X	30
human-associated	lung/nose-throat disorder	nose_throat_disord	[disorder name]		multiple	text	history of nose-throat disorders; can include multiple disorders	X	X	X	X	X	X	X	X	31
human-associated	blood/blood disorder	blood_blood_disord	[disorder name]		multiple	text	history of blood disorders; can include multiple disorders	X	X	X	X	X	X	X	X	32
human-associated	pulse	pulse	[measurement value]		1	float unit	resting pulse, measured as beats per minute	X	X	X	X	X	X	X	X	35
human-associated	amniotic fluid/gestation state	gestation_state	[gestation state]		1	text	specification of the gestation state	X	X	X	X	X	X	X	X	36
human-associated	amniotic fluid/maternal health status	maternal_health_stat	[health status]		1	text	specification of the maternal health status	X	X	X	X	X	X	X	X	37
human-associated	amniotic fluid/foetal health status	foetal_health_stat	[health status]		1	text	specification of foetal health status, should also include abortion	X	X	X	X	X	X	X	X	38
human-associated	amniotic fluid/color	amniotic_fluid_color	[color]		1	text	specification of the color of the amniotic fluid sample	X	X	X	X	X	X	X	X	39
human-associated	urine/kidney disorder	kidney_disord	[disorder name]		multiple	text	history of kidney disorders; can include multiple disorders	X	X	X	X	X	X	X	X	40
human-associated	urine/urogenital tract disorder	urogenit_tract_disor	[disorder name]		multiple	text	history of urogenitaltract disorders; can include multiple disorders	X	X	X	X	X	X	X	X	41
human-associated	urine/collection method	urine_collect_meth	[enumeration]	clean catch,catheter	1	Controlled vocabulary term	specification of urine collection method	X	X	X	X	X	X	X	X	43
human-associated	perturbation	perturbation	[perturbation type name;time interval]		multiple	text;[YYYY]-[MM]-[DD]T[hh]:[mm]:[ss]TZD/[YYYY]-[MM]-[DD]T[hh]:[mm]:[ss]TZD	type of perturbation, e.g. chemical administration, physical disturbance, etc., coupled with time that perturbation occurred; can include multiple perturbation types	X	X	X	X	X	X	X	X	44
human-associated	sample salinity	samp_salinity	[measurement value]		1	float unit	salinity of sample, i.e. measure of total salt concentration	X	X	X	X	X	X	X	X	45
human-associated	oxygenation status of sample	oxy_stat_samp	[enumeration]	aerobic, anaerobic	1	Controlled vocabulary term	oxygenation status of sample	X	X	X	X	X	X	X	X	46
human-associated	temperature	temp	[measurement value]		1	float unit	temperature of the sample at time of sampling	X	X	X	X	X	X	X	X	47
human-associated	organism count	organism_count	[organism name;measurement value]		multiple	text;float unit	total count of any organism per gram or volume of sample,should include name of organism followed by count; can include multiple organism counts	X	X	X	X	X	X	X	X	48
human-associated	sample storage temperature	samp_store_temp	[measurement value]		1	float unit	temperature at which sample was stored, e.g. -80	X	X	X	X	X	X	X	X	49
human-associated	sample storage duration	samp_store_dur	[time interval]		1	[YYYY]-[MM]-[DD]T[hh]:[mm]:[ss]TZD/[YYYY]-[MM]-[DD]T[hh]:[mm]:[ss]TZD	duration for which sample was stored	X	X	X	X	X	X	X	X	50
human-associated	sample storage location	samp_store_loc	[location name]		1	text	location at which sample was stored, usually name of a specific freezer/room	X	X	X	X	X	X	X	X	51
human-associated	miscellaneous parameter	misc_param	[parameter name;measurement value]		multiple	text;float unit or text	any other measurement performed or parameter collected, that is not listed here	X	X	X	X	X	X	X	X	52
human-gut	gastrointestinal tract disorder	gastrointest_disord	[disorder name]		multiple	text	history of gastrointestinal tract disorders; can include multiple disorders 	X	X	X	X	X	X	X	X	1
human-gut	liver disorder	liver_disord	[disorder name]		multiple	text	history of liver disorders; can include multiple disorders	X	X	X	X	X	X	X	X	2
human-gut	special diet	special_diet	[enumeration]	low carb,reduced calorie,vegetarian,other(specify)	multiple	Controlled vocabulary term	specification of special diet; can include multiple special diets	X	X	X	X	X	X	X	X	3
human-gut	host subject id	host_subject_id	[unique id]		1	variable character	a unique identifier by which each subject can be referred to, de-identified, e.g. #131	X	X	X	X	X	X	X	X	4
human-gut	age	age	[value]		1	float unit	age of host at the time of sampling; relevant scale depends on species and study, e.g. could be seconds for amoebae or centuries for trees	X	X	X	X	X	X	X	X	5
human-gut	sex	sex	[enumeration]	male,female,neuter,hermaphrodite,not determined	1	Controlled vocabulary term	physical sex of the host	X	X	X	X	X	X	X	X	6
human-gut	disease status	disease_stat	[disease name or DO]	DO (Disease Ontology); http://gemina.svn.sourceforge.net/viewvc/gemina/trunk/Gemina/ontologies/gemina_symptom.obo?view=log	multiple	text or DO term	list of diseases with which the host has been diagnosed; can include multiple diagnoses. the value of the field depends on host; for humans the terms should be chosen from DO (Disease Ontology), other hosts are free text	X	X	X	X	X	X	X	X	7
human-gut	IHMC medication code	ihmc_medication_code	[IHMC code]	01=1=Analgesics/NSAIDS, 02=2=Anesthetics, 03=3=Antacids/H2  antagonists, 04=4=Anti-acne, 05=5=Anti-asthma/bronchodilators, 06=6=Anti-cholesterol/Anti-hyperlipidemic, 07=7=Anti-coagulants, 08=8=Antibiotics/(anti)-infectives, parasitics, microbials, 09=9=Antidepressants/mood-altering drugs, 10=10=Antihistamines/ Decongestants, 11=11=Antihypertensives, 12=12=Cardiovascular, other than hyperlipidemic/HTN, 13=13=Contraceptives (oral, implant, injectable), 14=14=Emergency/support medications, 15=15=Endocrine/Metabolic agents, 16=16=GI meds (anti-diarrheal, emetic, spasmodics), 17=17=Herbal/homeopathic products, 18=18=Hormones/steroids, 19=19=OTC cold & flu, 20=20=Vaccine prophylaxis, 21=21=Vitamins, minerals, food supplements, 99=99=Other	multiple	IHMC code number	can include multiple medication codes	X	X	X	X	X	X	X	X	8
human-gut	chemical administration	chem_administration	[CHEBI;timestamp]	CHEBI (Chemical Entities of Biological Interest) browser; http://www.ebi.ac.uk/ontology-lookup/browse.do?ontName=CHEBI	multiple	CHEBI term;[YYYY]-[MM]-[DD]T[hh]:[mm]:[ss]TZD	list of chemical compounds administered to the host or site where sampling occurred, and when (e.g. antibiotics, N fertilizer, air filter); can include multiple compounds	X	X	X	X	X	X	X	X	9
human-gut	body site	body_site	[FMA]	FMA (Foundational Model of Anatomy) browser; http://www.ebi.ac.uk/ontology-lookup/browse.do?ontName=FMA	1	FMA term	name of body site where the sample was obtained from	X	X	X	X	X	X	X	X	10
human-gut	body product	body_product	[FMA]	FMA (Foundational Model of Anatomy) browser; http://www.ebi.ac.uk/ontology-lookup/browse.do?ontName=FMA	1	FMA term	substance produced by the body, e.g. stool, mucus, where the sample was obtained from	X	X	X	X	X	X	X	X	11
human-gut	total mass	tot_mass	[measurement value]		1	float unit	total mass of the host at collection, the unit depends on host	X	X	X	X	X	X	X	X	12
human-gut	height	height	[measurement value]		1	float unit	the height of subject	X	X	X	X	X	X	X	X	13
human-gut	diet	diet	[diet type]		multiple	text	type of diet depending on the host, for animals omnivore, herbivore etc., for humans high-fat, meditteranean etc.; can include multiple diet types	X	X	X	X	X	X	X	X	14
human-gut	last meal	last_meal	[content;time interval], multiple		multiple	text;[YYYY]-[MM]-[DD]T[hh]:[mm]:[ss]TZD/[YYYY]-[MM]-[DD]T[hh]:[mm]:[ss]TZD	content of last meal and time since feeding; can include multiple values	X	X	X	X	X	X	X	X	15
human-gut	family relationship	family_relationship	[arbitrary id;relationship type]		multiple	variable character;text	relationships to other hosts in the same study, e.g. child of host # 131; can include multiple relationships	X	X	X	X	X	X	X	X	16
human-gut	genotype	genotype	[genotype]		1	text	observed genotype	X	X	X	X	X	X	X	X	17
human-gut	phenotype	phenotype	[PATO]	http://www.ebi.ac.uk/ontology-lookup/browse.do?ontName=PATO	1	PATO term	phenotype of host	X	X	X	X	X	X	X	X	18
human-gut	host body temperature	host_body_temp	[measurement value]		1	float unit	core body temperature of the host when sample was collected	X	X	X	X	X	X	X	X	19
human-gut	body-mass index	body-mass_index	[measurement value]		1	float unit	body mass index, calculated as weight/(height)squared	X	X	X	X	X	X	X	X	20
human-gut	IHMC ethnicity	ihmc_ethnicity	[IHMC code or free text]	01=Hispanic or Latino or Spanish, 02=Non-Hispanic or Non-Latino or Non- Spanish	1	IHMC code number or text	ethnicity of the subject	X	X	X	X	X	X	X	X	21
human-gut	occupation	occupation	[IHMC code]	01=01 Accounting/Finance, 02=02 Advertising/Public Relations, 03=03  Arts/Entertainment/Publishing, 04=04 Automotive, 05=05 Banking/ Mortgage, 06=06 Biotech, 07=07 Broadcast/Journalism, 08=08 Business  Development, 09=09 Clerical/Administrative, 10=10 Construction/Trades,  11=11 Consultant, 12=12 Customer Services, 13=13 Design, 14=14  Education, 15=15 Engineering, 16=16 Entry Level, 17=17 Executive,  18=18 Food Service, 19=19 Government, 20=20 Grocery, 21=21 Healthcare,  22=22 Hospitality, 23=23 Human Resources, 24=24 Information  Technology, 25=25 Insurance, 26=26 Law/Legal, 27=27 Management, 28=28  Manufacturing, 29=29 Marketing, 30=30 Pharmaceutical, 31=31  Professional Services, 32=32 Purchasing, 33=33 Quality Assurance (QA),  34=34 Research, 35=35 Restaurant, 36=36 Retail, 37=37 Sales, 38=38  Science, 39=39 Security/Law Enforcement, 40=40 Shipping/Distribution,  41=41 Strategy, 42=42 Student, 43=43 Telecommunications, 44=44  Training, 45=45 Transportation, 46=46 Warehouse, 47=47 Other, 99=99  Unknown/Refused	1	IHMC code number	most frequent job performed by subject	X	X	X	X	X	X	X	X	22
human-gut	medical history performed	medic_hist_perform	[true or false]		1	boolean	whether full medical history was collected	X	X	X	X	X	X	X	X	23
human-gut	pulse	pulse	[measurement value]		1	float unit	resting pulse, measured as beats per minute	X	X	X	X	X	X	X	X	26
