name_accession_number,name,host,host_phylum,viral_family,host_kingdom,name_accesion
AY848686 ,Tectivirus Enterobacteria phage PR4,Enterobacteria,GammaProteo,Tectiviridae,Bacteria,AY848686
AY848687 ,Tectivirus Enterobacteria phage PR5,Enterobacteria,GammaProteo,Tectiviridae,Bacteria,AY848687
AY848688 ,Tectivirus Enterobacteria phage PR772,Enterobacteria,GammaProteo,Tectiviridae,Bacteria,AY848688
AY967407 ,Enterobacteria phage RB43,Escherichia,GammaProteo,Myoviridae,Bacteria,AY967407
Babsiella ,Mycophage Babsiella,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,Babsiella
Backyardigan ,Mycophage Backyardigan,Mycobacterium,Actinobacteria,Myoviridae,Bacteria,Backyardigan
Baka ,Mycophage BAKA,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,Baka
BarrelRoll ,Mycophage BarrelRoll,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,BarrelRoll
Bask21 ,Mycophage Bask21,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,Bask21
Batiatus ,Mycobacteria smegmatis Mycobacteriophage Batiatus,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,Batiatus
Benedict ,Mycophage Benedict,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,Benedict
BillKnuckles ,Mycophage BillKnuckles,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,BillKnuckles
BL5GENM ,Leuconostoc phage L5,Leuconostoc,Firmicutes,Unclassified,Bacteria,BL5GENM
Blue7 ,Mycophage Blue7,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,Blue7
BPBiebs31 ,Mycophage BPBiebs31,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,BPBiebs31
ChrisnMich ,Mycophage ChrisnMich,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,ChrisnMich
contig00001_1_108297 ,Mycobacterium-phage-Redno2,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,contig00001_1_108297
contig00001_1_96337 ,Bas Gut Phage,,,,,contig00001_1_96337
contig00002_1_57713 ,Mycobacterium phage Batiatus,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,contig00002_1_57713
CP000711 ,Enterobacteria phage CUS-3,Escherichia,GammaProteo,Myoviridae,Bacteria,CP000711
CP002495 ,Enterococcus phage EF62phi,Enterococcus,Firmicutes,Unclassified,Bacteria,CP002495
CP002889 ,Streptococcus phage YMC-2011,Streptococcus,Firmicutes,Siphoviridae,Bacteria,CP002889
CP003186 ,Thermoanaerobacterium phage THSA-485A,Thermoanaerobacteria,Firmicutes,Siphoviridae,Bacteria,CP003186
Daisy ,Mycophage Daisy,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,Daisy
DaVinci ,Mycophage DaVinci,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,DaVinci
DLane ,Mycophage DLane,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,DLane
Doom ,Mycophage Doom,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,Doom
Dori ,Mycophage Dori,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,Dori
DotProduct ,Mycophage DotProduct,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,DotProduct
DQ004855 ,unclassified SPO1-like viruses Listeria phage P100,Listeria,Firmicutes,Myoviridae,Bacteria,DQ004855
DQ079870 , Enterobacteria phage ID21,,GammaProteo,Microviridae,Bacteria,DQ079870
DQ079871 , Enterobacteria phage ID32,,GammaProteo,Microviridae,Bacteria,DQ079871
DQ079872 , Enterobacteria phage NC35,,GammaProteo,Microviridae,Bacteria,DQ079872
DQ079874 , Enterobacteria phage WA45,,GammaProteo,Microviridae,Bacteria,DQ079874
DQ079875 , Enterobacteria phage NC28,,GammaProteo,Microviridae,Bacteria,DQ079875
DQ079876 , Enterobacteria phage ID62,,GammaProteo,Microviridae,Bacteria,DQ079876
DQ079877 , Enterobacteria phage ID52,,GammaProteo,Microviridae,Bacteria,DQ079877
DQ079878 , Enterobacteria phage NC3,,GammaProteo,Microviridae,Bacteria,DQ079878
DQ079879 , Enterobacteria phage NC29,,GammaProteo,Microviridae,Bacteria,DQ079879
DQ079880 , Enterobacteria phage ID1,,GammaProteo,Microviridae,Bacteria,DQ079880
DQ079881 , Enterobacteria phage ID22,,GammaProteo,Microviridae,Bacteria,DQ079881
DQ079882 , Enterobacteria phage ID34,,GammaProteo,Microviridae,Bacteria,DQ079882
DQ079883 , Enterobacteria phage ID45,,GammaProteo,Microviridae,Bacteria,DQ079883
DQ079884 , Enterobacteria phage NC1,,GammaProteo,Microviridae,Bacteria,DQ079884
DQ079885 , Enterobacteria phage NC5,,GammaProteo,Microviridae,Bacteria,DQ079885
DQ079886 , Enterobacteria phage NC7,,GammaProteo,Microviridae,Bacteria,DQ079886
DQ079887 , Enterobacteria phage NC11,,GammaProteo,Microviridae,Bacteria,DQ079887
DQ079888 , Enterobacteria phage NC16,,GammaProteo,Microviridae,Bacteria,DQ079888
DQ079889 , Enterobacteria phage NC37,,GammaProteo,Microviridae,Bacteria,DQ079889
DQ079890 , Enterobacteria phage NC41,,GammaProteo,Microviridae,Bacteria,DQ079890
DQ079891 , Enterobacteria phage NC51,,GammaProteo,Microviridae,Bacteria,DQ079891
DQ079892 , Enterobacteria phage NC56,,GammaProteo,Microviridae,Bacteria,DQ079892
DQ079893 , Enterobacteria phage WA4,,GammaProteo,Microviridae,Bacteria,DQ079893
DQ079894 , Enterobacteria phage WA10,,GammaProteo,Microviridae,Bacteria,DQ079894
DQ079895 , Enterobacteria phage WA11,,GammaProteo,Microviridae,Bacteria,DQ079895
DQ079896 , Enterobacteria phage WA2,,GammaProteo,Microviridae,Bacteria,DQ079896
DQ079897 , Enterobacteria phage WA3,,GammaProteo,Microviridae,Bacteria,DQ079897
DQ079898 , Enterobacteria phage ID8,,GammaProteo,Microviridae,Bacteria,DQ079898
DQ079899 , Enterobacteria phage WA5,,GammaProteo,Microviridae,Bacteria,DQ079899
DQ079900 , Enterobacteria phage NC2,,GammaProteo,Microviridae,Bacteria,DQ079900
DQ079901 , Enterobacteria phage NC13,,GammaProteo,Microviridae,Bacteria,DQ079901
DQ079902 , Enterobacteria phage NC19,,GammaProteo,Microviridae,Bacteria,DQ079902
DQ079903 , Enterobacteria phage ID41,,GammaProteo,Microviridae,Bacteria,DQ079903
DQ079904 , Enterobacteria phage WA6,,GammaProteo,Microviridae,Bacteria,DQ079904
DQ079905 , Enterobacteria phage ID12,,GammaProteo,Microviridae,Bacteria,DQ079905
DQ079906 , Enterobacteria phage NC10,,GammaProteo,Microviridae,Bacteria,DQ079906
DQ079907 , Enterobacteria phage NC6,,GammaProteo,Microviridae,Bacteria,DQ079907
DQ079909 , Enterobacteria phage WA14,,GammaProteo,Microviridae,Bacteria,DQ079909
DQ113772 , Streptococcus phage MM1 1998,Streptococcus,Firmicutes,Siphoviridae,Bacteria,DQ113772
DQ289556 , Bacillus phage Gamma isolate d'Herelle,Bacillus,Firmicutes,Siphoviridae,Bacteria,DQ289556
DQ394806 , Lactococcus phage ul36.k1,Lactococcus,Firmicutes,Siphoviridae,Bacteria,DQ394806
DQ394807 , Lactococcus phage ul36.k1t1,Lactococcus,Firmicutes,Siphoviridae,Bacteria,DQ394807
DQ394808 , Lactococcus phage ul36.t1,Lactococcus,Firmicutes,Siphoviridae,Bacteria,DQ394808
DQ394809 , Lactococcus phage ul36.t1k1,Lactococcus,Firmicutes,Siphoviridae,Bacteria,DQ394809
DQ394810 , Lactococcus phage phismq86,Lactococcus,Firmicutes,Siphoviridae,Bacteria,DQ394810
DQ426904 ,Bacteriophage phi-MhaA1-PHL101,Mannheminia,GammaProteo,Myoviridae,Bacteria,DQ426904
DQ426905 ,P2-like viruses Mannheimia phage phiMhaA1-BAA410,Mannheimia,GammaProteo,Myoviridae,Bacteria,DQ426905
DQ530359 ,phiNM1,Staphylococcus,Firmicutes,Siphoviridae,Bacteria,DQ530359
DQ530360 , Staphylococcus aureus phage phiNM2,Staphylococcus,Firmicutes,Siphoviridae,Bacteria,DQ530360
DQ530362 , Staphylococcus aureus phage phiNM4,Staphylococcus,Firmicutes,Siphoviridae,Bacteria,DQ530362
DQ838728 ,Lactococcus phage P335,Lactococcus,Firmicutes,Siphoviridae,Bacteria,DQ838728
DQ908929 , Staphylococcus phage 80,Staphylococcus,Firmicutes,Siphoviridae,Bacteria,DQ908929
Drago ,Mycophage Drago,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,Drago
Drazdys ,Mycophage Drazdys,Mycobacterium,Actinobacteria,Myoviridae,Bacteria,Drazdys
DS6A ,Mycophage DS6A,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,DS6A
Eagle ,Mycophage Eagle,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,Eagle
EF068134 ,Allolevivirus Enterobacteria phage FI,Enterobacteria,GammaProteo,Leviviridae,Bacteria,EF068134
EF071488 ,Pyrococcus abyssi virus 1,Pyrococcus,Euryachaeota,Unclassified DS,Archaea,EF071488
Elph10 ,Mycophage Elph10,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,Elph10
EricB ,Mycophage EricB,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,EricB
EU078592 ,Lambda-like viruses Enterobacteria phage DE3,Enterobacteria,GammaProteo,Siphoviridae,Bacteria,EU078592
EU340421 ,Lactobacillus phage c5,Lactobacillus,Firmicutes,Siphoviridae,Bacteria,EU340421
EU409559 ,Lactobacillus phage JCL1032,Lactobacillus,Firmicutes,Siphoviridae,Bacteria,EU409559
EU418428 ,A5W,Staphylococcus,Firmicutes,Myoviridae,Bacteria,EU418428
EU622808 ,Phi29-like viruses Bacillus phage Nf,Bacillus,Firmicutes,Podoviridae,Bacteria,EU622808
Fang ,Mycophage Fang,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,Fang
FJ483838 ,Enterobacteria phage BZ13 strain T72,Escherichia,GammaProteo,Leviviridae,Bacteria,FJ483838
FJ848881 , Lactococcus phage SL4,Lactococcus,Firmicutes,Siphoviridae,Bacteria,FJ848881
FJ848883 ,Lactococcus phage CB14,Lactococcus,Firmicutes,Siphoviridae,Bacteria,FJ848883
FM180578 , Enterobacteria phage 2851,Enterobacteria,GammaProteo,Podoviridae,Bacteria,FM180578
FN297812 ,Vibrio phage VP58.5,Vibrio,GammaProteo,Myoviridae,Bacteria,FN297812
FN667788 ,Campylobacter phage CP220,Campylobacter,EpsilonProteo,Myoviridae,Bacteria,FN667788
FN667789 ,Campylobacter phage CPt10,Campylobacter,EpsilonProteo,Myoviridae,Bacteria,FN667789
FQ312032 ,Salmonella phage Vi01,Salmonella,GammaProteo,Myoviridae,Bacteria,FQ312032
FQ482084 ,Erwinia amylovora phage phiEa1H,Erwinia,GammaProteo,Podoviridae,Bacteria,FQ482084
FQ482086 ,Erwinia amylovora phage phiEa100,Erwinia,GammaProteo,Podoviridae,Bacteria,FQ482086
FR687252 ,Pantoea phage LIMElight,Pantoea,GammaProteo,Podoviridae,Bacteria,FR687252
FR725450 ,Nitrososphaera phage Pro-Nvie1,Nitrososphaera,Crenarchaeota,Unclassified,Archaea,FR725450
FR751545 ,Pantoea phage LIMEzero,Pantoea,GammaProteo,Podoviridae,Bacteria,FR751545
FR775895 ,Enterobacteria phage phi92,Escherichia,GammaProteo,Myoviridae,Bacteria,FR775895
FR823450 ,Campylobacter phage CP81,Campylobacter,EpsilonProteo,Myoviridae,Bacteria,FR823450
FR852584 ,ISP,Staphylococcus,Firmicutes,Myoviridae,Bacteria,FR852584
Frederick_1_71184 ,Mycobacterium phage Frederick,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,Frederick_1_71184
Gadjet ,Mycophage Gadjet,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,Gadjet
George ,Mycophage George,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,George
Ghost ,Mycophage Ghost,Mycobacterium,Actinobacteria,Myoviridae,Bacteria,Ghost
gi|255927524|gb|GQ303259.1| ,Mycophage Colbert,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,Gladiator
gi|255927844|gb|GQ303261.1| ,Mycophage Hope,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,GQ303259.1
Gladiator ,Mycophage Gladiator,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,GQ303261.1
GQ303264 ,Mycobacterium phage Puhltonio,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,GQ303264
GQ443085 ,CP26F,Clostridium,Firmicutes,Siphoviridae,Bacteria,GQ443085
GQ451696 ,Leuconostoc phage 1-A4,Leuconostoc,Firmicutes,Siphoviridae,Bacteria,GQ451696
GQ478082 ,Enterococcus phage phiFL1B,Enterococcus,Firmicutes,Siphoviridae,Bacteria,GQ478082
GQ478083 ,Enterococcus phage phiFL1C,Enterococcus,Firmicutes,Siphoviridae,Bacteria,GQ478083
GQ478085 ,Enterococcus phage phiFL2B,Enterococcus,Firmicutes,Siphoviridae,Bacteria,GQ478085
GQ478087 ,Enterococcus phage phiFL3B,Enterococcus,Firmicutes,Siphoviridae,Bacteria,GQ478087
GU070616 ,Salmonella phage PVP-SE1,Salmonella,GammaProteo,Myoviridae,Bacteria,GU070616
GU071094 ,S-SM1,Synechococcus,Cyanobacteria,Myoviridae,Bacteria,GU071094
GU071095 ,S-SM2,Synechococcus,Cyanobacteria,Myoviridae,Bacteria,GU071095
GU071096 ,S-ShM2,Synechococcus,Cyanobacteria,Myoviridae,Bacteria,GU071096
GU071097 ,S-SSM5,Synechococcus,Cyanobacteria,Myoviridae,Bacteria,GU071097
GU071098 ,S-SSM7,Synechococcus,Cyanobacteria,Myoviridae,Bacteria,GU071098
GU071099 ,Prochlorococcus phage P-RSM4,Prochlorococcus,Cyanobacteria,Myoviridae,Bacteria,GU071099
GU071100 ,Cyanophage 9515-10a /P-SSP6 : HQ634152 / P-SSP1,Prochlorococcus,Cyanobacteria,Podoviridae,Bacteria,GU071100
GU071101 ,Prochlorococcus phage P-HM1,Prochlorococcus,Cyanobacteria,Myoviridae,Bacteria,GU071101
GU071102 ,Cyanophage NATL1A-7 / P-RSP5,Prochlorococcus,Cyanobacteria,Podoviridae,Bacteria,GU071102
GU071103 ,Prochlorococcus phage P-SSM7,Prochlorococcus,Cyanobacteria,Myoviridae,Bacteria,GU071103
GU071104 ,Cyanophage NATL2A-133 / P-HP1,Prochlorococcus,Cyanobacteria,Podoviridae,Bacteria,GU071104
GU071105 ,Prochlorococcus phage Syn1,Prochlorococcus,Cyanobacteria,Myoviridae,Bacteria,GU071105
GU071106 ,Syn19,Synechococcus,Cyanobacteria,Myoviridae,Bacteria,GU071106
GU071107 ,Cyanophage Syn26,Prochlorococcus,Cyanobacteria,Podoviridae,Bacteria,GU071107
GU071108 ,Prochlorococcus phage Syn33,Prochlorococcus,Cyanobacteria,Myoviridae,Bacteria,GU071108
GU075905 ,Prochlorococcus phage P-HM2,Prochlorococcus,Cyanobacteria,Myoviridae,Bacteria,GU075905
GU080336 ,Sulfolobus turreted icosahedral virus 2,Sulfolobus,Crenarchaeota,Unclassified DS,Archaea,GU080336
GU169904 ,SA1,Staphylococcus,Firmicutes,Myoviridae,Bacteria,GU169904
GU196277 ,Escherichia phage K1G,Escherichia,GammaProteo,Siphoviridae,Bacteria,GU196277
GU196278 ,Escherichia phage K1H,Escherichia,GammaProteo,Siphoviridae,Bacteria,GU196278
GU196279 ,Escherichia phage K1ind1,Escherichia,GammaProteo,Siphoviridae,Bacteria,GU196279
GU196280 ,Escherichia phage K1ind2,Escherichia,GammaProteo,Siphoviridae,Bacteria,GU196280
GU196281 ,Escherichia phage K1ind3,Escherichia,GammaProteo,Siphoviridae,Bacteria,GU196281
GU229986 ,250,Bacillus,Firmicutes,Unclassified,Bacteria,GU229986
GU323708 ,Lactobacillus phage phiPYB5,Lactobacillus,Firmicutes,Siphoviridae,Bacteria,GU323708
GU396103 ,PX29,Aeromonas,GammaProteo,Myoviridae,Bacteria,GU396103
GU568037 ,Deep-sea thermophilic phage D6E,,,Unclassified DS,,GU568037
GU580940 ,Rhodococcus phage ReqiDocB7,Rhodococcus,Actinobacteria,Siphoviridae,Bacteria,GU580940
GU580941 ,Rhodococcus phage ReqiPepy6,Rhodococcus,Actinobacteria,Siphoviridae,Bacteria,GU580941
GU580942 ,Rhodococcus phage ReqiPoco6,Rhodococcus,Actinobacteria,Siphoviridae,Bacteria,GU580942
GU580943 ,Rhodococcus phage ReqiPine5,Rhodococcus,Actinobacteria,Siphoviridae,Bacteria,GU580943
GU722196 ,Hyperthermophilic Archaeal Virus 1,,Archaea,Unclassified DS,Archaea,GU722196
GU815091 ,Pseudomonas phage JG024,Pseudomonas,GammaProteo,Myoviridae,Bacteria,GU815091
GU903191 ,Escherichia phage vB_EcoM_ECO1230-10,Escherichia,GammaProteo,Myoviridae,Bacteria,GU903191
GU967410 ,Lactobacillus phage LBR48,Lactobacillus,Firmicutes,Myoviridae,Bacteria,GU967410
GU988610 ,Pseudomonas phage JG004,Pseudomonas,GammaProteo,Myoviridae,Bacteria,GU988610
Gumbie ,Mycophage Gumbie,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,Gumbie
Hammer ,Mycophage Hammer,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,Hammer
Hamulus ,Mycophage Hamulus,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,Hamulus
Harvey_complete ,Mycophage Harvey,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,Harvey_complete
HE580237 ,TPA_exp: Aeropyrum pernix ovoid virus 1,Aeropyrum,Crenarchaeota,Guttaviridae,Archaea,HE580237
HE580238 ,TPA_exp: Aeropyrum pernix spindle-shaped virus 1,Aeropyrum,Crenarchaeota,Aeropyrum,Archaea,HE580238
HE584812 ,Pseudomonas phage LPB1.,Pseudomonas,GammaProteo,Siphoviridae,Bacteria,HE584812
HE600015 ,Dickeya phage vB_DsoM_LIMEstone1,Dickeya,GammaProteo,Myoviridae,Bacteria,HE600015
HE608841 ,Bacteroides phage B124-14,Bacteroides,Bacteroidetes,Siphoviridae,Bacteria,HE608841
HE611333 ,Pseudomonas phage tf,Pseudomonas,GammaProteo,Podoviridae,Bacteria,HE611333
HE614281 ,SpaA1,Staphylococcus,Firmicutes,Unclassified,Bacteria,HE614281
HE614282 ,BceA1,Bacillus,Firmicutes,Unclassified,Bacteria,HE614282
HE775250 ,Salmonella phage vB_SenS-Ent1,Salmonella,GammaProteo,Siphoviridae,Bacteria,HE775250
HE806280 ,AP22,Acinetobacter,GammaProteo,Unclassified,Bacteria,HE806280
Hedgerow ,Mycophage Hedgerow,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,Hedgerow
Henry ,Mycophage Henry,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,Henry
Hertubise ,Mycophage Hertubise,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,Hertubise
HM066936 ,Caulobacter phage phiCb5,Caulobacter,AlfaProteo,Leviviridae,Bacteria,HM066936
HM137666 ,Enterobacteria phage T4T,Escherichia,GammaProteo,Myoviridae,Bacteria,HM137666
HM144387 ,W.Ph.,Bacillus,Firmicutes,Myoviridae,Bacteria,HM144387
HM173081 ,Pseudomonas phage P3_CHA,Pseudomonas,GammaProteo,Myoviridae,Bacteria,HM173081
HM173082 ,Pseudomonas phage PAK_P3,Pseudomonas,GammaProteo,Myoviridae,Bacteria,HM173082
HM173637 ,Escherichia phage HK75,Escherichia,GammaProteo,Siphoviridae,Bacteria,HM173637
HM208303 ,Stx2 converting phage vB_EcoP_24B,Escherichia,GammaProteo,Siphoviridae,Bacteria,HM208303
HM208537 ,Escherichia phage HK639,Escherichia,GammaProteo,Siphoviridae,Bacteria,HM208537
HM246720 ,Campylobacter phage vB_CcoM-IBB_35 clone Contig1,Campylobacter,EpsilonProteo,Myoviridae,Bacteria,HM246720
HM368260 ,AB1,Acinetobacter,GammaProteo,Unclassified,Bacteria,HM368260
HM480106 ,S-CBS1,Synechococcus,Cyanobacteria,Siphoviridae,Bacteria,HM480106
HM480846 ,Enterobacteria phage K30,Enterobacteria,GammaProteo,Podoviridae,Bacteria,HM480846
HM624080 ,Pseudomonas phage PA1/KOR/2010,Pseudomonas,GammaProteo,Siphoviridae,Bacteria,HM624080
HM755814 ,Mycobacterium phage Wonder,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,HM755814
HM770079 ,Salmonella phage RE-2010,Salmonella,GammaProteo,Myoviridae,Bacteria,HM770079
HM997019 ,Salmonella phage 7-11,Salmonella,GammaProteo,Podoviridae,Bacteria,HM997019
HM997020 ,Escherichia phage wV7,Escherichia,GammaProteo,Myoviridae,Bacteria,HM997020
HQ110083 ,Cronobacter phage ESSI-2,Cronobacter,GammaProteo,Unclassified,Bacteria,HQ110083
HQ110084 ,Cronobacter phage ENT90,Erwinia,GammaProteo,Myoviridae,Bacteria,HQ110084
HQ141410 ,Lactobacillus phage LF1,Lactobacillus,Firmicutes,Siphoviridae,Bacteria,HQ141410
HQ141411 ,Lactobacillus phage Sha1,Lactobacillus,Firmicutes,Siphoviridae,Bacteria,HQ141411
HQ163896 ,Sb-1,Staphylococcus,Firmicutes,Myoviridae,Bacteria,HQ163896
HQ186308 ,phiAB1,Acinetobacter,GammaProteo,Podoviridae,Bacteria,HQ186308
HQ225832 ,Tetrasphaera phage TJE1,Tetrasphaera,Actinobacteria,Caudovirales,Bacteria,HQ225832
HQ259103 ,Salmonella phage SFP10,Salmonella,GammaProteo,Myoviridae,Bacteria,HQ259103
HQ259105 ,Escherichia phage vB_EcoP_G7C,Escherichia,GammaProteo,Podoviridae,Bacteria,HQ259105
HQ264138 , CA82,,GammaProteo,Microviridae,Bacteria,HQ264138
HQ316584,SS120-1,Prochlorococcus,Cyanobacteria,Podoviridae,Bacteria,HQ316584
HQ316604 ,Vibrio phage SIO-2,Vibrio,GammaProteo,Siphoviridae,Bacteria,HQ316604
HQ317385 ,S-RIM8 A.HR5,Synechococcus,Cyanobacteria,Myoviridae,Bacteria,HQ317385
HQ317390 ,Colwellia phage 9A,Colvellia,GammaProteo,Siphoviridae,Bacteria,HQ317390
HQ332137,P-SSP3,Prochlorococcus,Cyanobacteria,Podoviridae,Bacteria,HQ332137
HQ332139,P-RSP2,Prochlorococcus,Cyanobacteria,Podoviridae,Bacteria,HQ332139
HQ332140,P-GSP1,Prochlorococcus,Cyanobacteria,Podoviridae,Bacteria,HQ332140
HQ333270 ,Yersinia phage Yep-phi,Yersinia,GammaProteo,Podoviridae,Bacteria,HQ333270
HQ337022,P-SSP10,Prochlorococcus,Cyanobacteria,Podoviridae,Bacteria,HQ337022
HQ377372 ,Liberibacter phage SC1,Liberibacter,AlfaProteo,Podoviridae,Bacteria,HQ377372
HQ377373 ,Liberibacter phage SC2,Liberibacter,AlfaProteo,Podoviridae,Bacteria,HQ377373
HQ396194 ,Riemerella phage RAP44,Riemerella,Bacteroidetes,Siphoviridae,Bacteria,HQ396194
HQ630627 ,Pseudomonas phage PhiPA3,Pseudomonas,GammaProteo,Myoviridae,Bacteria,HQ630627
HQ641341 ,Vibrio phage ICP3_2009_B,Vibrio,GammaProteo,Podoviridae,Bacteria,HQ641341
HQ641343 ,Vibrio phage ICP3_2008_A,Vibrio,GammaProteo,Podoviridae,Bacteria,HQ641343
HQ641344 ,Vibrio phage ICP3_2007_A,Vibrio,GammaProteo,Podoviridae,Bacteria,HQ641344
HQ641346 ,Vibrio phage ICP2_2006_A,Vibrio,GammaProteo,Podoviridae,Bacteria,HQ641346
HQ641348 ,Vibrio phage ICP1_2006_D,Vibrio,GammaProteo,Myoviridae,Bacteria,HQ641348
HQ641349 ,Vibrio phage ICP1_2006_C,Vibrio,GammaProteo,Myoviridae,Bacteria,HQ641349
HQ641350 ,Vibrio phage ICP1_2006_B,Vibrio,GammaProteo,Myoviridae,Bacteria,HQ641350
